"id","title","interpreter","composer","texter","album","language","instrumentation","velocity","volume","atmosphere","all_genres","feelings"
338,The Free Electric Band ,Albert Hammond,,,,englisch,,,,,,
339,Billie Jean ,Michael Jackson,,,,englisch,,,,,,
340,Beat It ,Michael Jackson,,,,englisch,,,,,,
341,The Way You Make Me Feel (2012 Remaster) ,Michael Jackson,,,,englisch,,,,,,
342,Earth Song (Remastered Version) ,Michael Jackson,,,,englisch,,,,,,
343,Black or White ,Michael Jackson,,,,englisch,,,,,,
344,Heal the World ,Michael Jackson,,,,englisch,,,,,,
345,Man in the Mirror (2012 Remaster) ,Michael Jackson,,,,englisch,,,,,,
346,Thriller ,Michael Jackson,,,,englisch,,,,,,
347,They Don't Care About Us (Remastered Version) ,Michael Jackson,,,,englisch,,,,,,
348,Can't Help Falling In Love (Live At Lake Las Vegas / 2005) ,Andrea Bocelli,,,,englisch,,,,,,
349,Stand By Me ,Ben E. King,,,,englisch,,,,,,
350,Locked Away ,R. City,,,,englisch,,,,,,
351,Story of My Life ,One Direction,,,,englisch,,,,,,
352,All The Love That I Ever Needed ,James Blunt,,,,englisch,,,,,,
353,In Other Words ,Ed Sheeran,,,,englisch,,,,,,
354,Maybe It's Me ,The Strumbellas,,,,englisch,,,,,,
355,When You Say Nothing At All (Acoustic Version) ,Ronan Keating,,,,englisch,,,,,,
356,jar of hearts ,Christina Perri,,,,englisch,,,,,,
357,Jonah ,Xavier Darcy,,,,englisch,,,,,,
358,Orléans ,Xavier Darcy,,,,englisch,,,,,,
359,Welcome To My Life ,Sunrise Avenue,,,,englisch,,,,,,
360,Fairytale Gone Bad ,Sunrise Avenue,,,,englisch,,,,,,
361,Walking in Memphis ,Marc Cohn,,,,englisch,,,,,,
362,Another Love ,City Sessions,,,,englisch,,,,,,
363,"Mad World (feat. K.J. Apa, Camila Mendes & Lili Reinhart) ",Riverdale Cast,,,,englisch,,,,,,
364,To Get to Love You (Single Version) ,Matteo Bocelli,,,,englisch,,,,,,
365,Everything I Need ,Skylar Grey,,,,englisch,,,,,,
366,Stand By Me ,Skylar Grey,,,,englisch,,,,,,
367,Ton combat ,Arcadian,,,,französisch,,,,,,
368,Un homme debout ,Claudio Capéo,,,,französisch,,,,,,
369,Les gens qu'on aime ,Patrick Fiori,,,,französisch,,,,,,
370,On ira ,Zaz,,,,französisch,,,,,,
371,La fille du sud ,Vianney,,,,französisch,,,,,,
372,Pour oublier ,Kendji Girac,,,,französisch,,,,,,
373,Je veux ,Zaz,,,,französisch,,,,,,
374,Call on me (feat. Ed Sheeran) ,Vianney,,,,französisch,,,,,,
375,Le chant des sirènes ,Flo Delavega,,,,französisch,,,,,,
376,ZAZ – Qué vendrá (Clip officiel) ,Zaz Official,,,,französisch,,,,,,
377,Qué vendrá ,Zaz,,,,französisch,,,,,,
378,De couleurs vives ,Zaz,,,,französisch,,,,,,
379,Papaoutai ,Stromae,,,,französisch,,,,,,
380,Formidable ,Stromae,,,,französisch,,,,,,
381,Les sables émouvants ,Arcadian,,,,französisch,,,,,,
382,La lettre ,Renan Luce,,,,französisch,,,,,,
383,Dumbo ,Vianney,,,,französisch,,,,,,
384,Ta main ,Claudio Capéo,,,,französisch,,,,,,
385,J'y vais ,Patrick Fiori,,,,französisch,,,,,,
386,Parce que c'est toi ,Vianney,,,,französisch,,,,,,
387,Je me lâche ,Christophe Maé,,,,französisch,,,,,,
388,Pas là ,Vianney,,,,französisch,,,,,,
389,JE CHANTE (IO CANTO) ,Laura Pausini,,,,französisch,,,,,,
390,La beauté du doute ,Florent Pagny,,,,französisch,,,,,,
391,Nos célébrations ,Indochine,,,,französisch,,,,,,
392,Si j'avais su ,Claudio Capéo,,,,französisch,,,,,,
393,Les imbéciles ,Vianney,,,,französisch,,,,,,
394,Je m'en vais ,Vianney,,,,französisch,,,,,,
395,Bruxelles ,Boulevard des Airs,,,,französisch,,,,,,
396,J'ai demandé à la lune ,Indochine,,,,französisch,,,,,,
397,Toi et moi ,Guillaume Grand,,,,französisch,,,,,,
398,Tout le bonheur du monde ,Sinsemilia,,,,französisch,,,,,,
399,Je fais de toi mon essentiel (feat. Anne-Laure Girbal) ,Le Roi Soleil,,,,französisch,,,,,,
400,D'autres que nous (14 boulevard Saint-Michel) ,Axelle Red,,,,französisch,,,,,,
401,Moi aimer toi ,Vianney,,,,französisch,,,,,,
402,Caravane ,Raphaël,,,,französisch,,,,,,
403,Ça ira ,Vitaa & Slimane,,,,französisch,,,,,,
404,On dirait ,Amir,,,,französisch,,,,,,
405,Que Dieu me pardonne ,Kendji Girac,,,,französisch,,,,,,
406,Keep it Simple (feat. Mika) ,Vianney,,,,französisch,,,,,,
407,Le feu ,Kendji Girac,,,,französisch,,,,,,
408,Si on chantait ,Vianney,,,,französisch,,,,,,
409,Mode ,Vianney,,,,französisch,,,,,,
410,Evidemment ,Kendji Girac,,,,französisch,,,,,,
411,C'est une chanson ,Claudio Capéo,,,,französisch,,,,,,
412,La parisienne ,Christophe Maé,,,,französisch,,,,,,
413,Pourquoi c'est beau... ,Christophe Maé,,,,französisch,,,,,,
414,"Dingue, dingue, dingue ",Christophe Maé,,,,französisch,,,,,,
415,C'est ma terre ,Christophe Maé,,,,französisch,,,,,,
416,J'ai laissé ,Christophe Maé,,,,französisch,,,,,,
417,On s'attache ,Christophe Maé,,,,französisch,,,,,,
418,Pardonnez-moi ,Vianney,,,,französisch,,,,,,
419,Dans mes bras ,Kendji Girac,,,,französisch,,,,,,
420,Dernier métro ,Kendji Girac,,,,französisch,,,,,,
421,Bonjour merci ,Arcadian,,,,französisch,,,,,,
422,Balance ,Mentissa,,,,französisch,,,,,,
423,Exceptionnel ,Mentissa,,,,französisch,,,,,,
424,Attendez-moi ,Mentissa,,,,französisch,,,,,,
425,Premier janvier ,Mentissa,,,,französisch,,,,,,
426,Où je serai demain ,Arcadian,,,,französisch,,,,,,
427,Je te donne (feat. Leslie) ,Leslie,,,,französisch,,,,,,
428,Comme avant ,Christophe Maé,,,,französisch,,,,,,
429,Dépassé ,Nuit Incolore,,,,französisch,,,,,,
430,In The Stars (French Version) ,Benson Boone,,,,französisch,,,,,,
431,Comment on fait ,Vianney,,,,französisch,,,,,,
432,Senza una donna (Radio Edit) ,Claudio Capéo,,,,französisch,,,,,,
433,Pour de vrai ,Vianney,,,,französisch,,,,,,
434,Tout au bout du monde ,TiBZ,,,,französisch,,,,,,
435,Maintenant ,Vianney,,,,französisch,,,,,,
436,La vie m'suffit ,Vianney,,,,französisch,,,,,,
437,L'ours ,Christophe Maé,,,,französisch,,,,,,
438,La vie d'artiste ,Christophe Maé,,,,französisch,,,,,,
439,Ça marche ,Le Roi Soleil,,,,französisch,,,,,,
440,Je suis fou ,Vianney,,,,französisch,,,,,,
441,Dabali ,Vianney,,,,französisch,,,,,,
442,Bonjour Au revoir ,Joyce Jonathan,,,,französisch,,,,,,
443,Parce qu'on ne sait jamais ,Christophe Maé,,,,französisch,,,,,,
444,Ça ira ,Joyce Jonathan,,,,französisch,,,,,,
445,Crush ,Nuit Incolore,,,,französisch,,,,,,
446,Parapluie ,JECK,,,,französisch,,,,,,
447,Métis (feat. Ousman Danedjo) ,Gaël Faye,Gaël Faye,,Pili pili sur un croissant au beurre,französisch,Vocal,Fast,Calm,Neutral,"Hip-Hop,World Music,Afro-Rap,Conscious Rap","Lyrisch/poetisch,Kraftvoll,Zärtlichkeit,Virtuosität,introspektiv"
448,Respire ,Gaël Faye,,,,französisch,,,,,,
449,Tatoue moi ,Mozart Opera Rock,,,,französisch,,,,,,
450,Rendez-vous ,Nuit Incolore,,,,französisch,,,,,,
451,C'est bientôt la fin ,Mozart Opera Rock,,,,französisch,,,,,,
452,Changer ,TiBZ,,,,französisch,,,,,,
453,Le firmament ,Vianney,,,,französisch,,,,,,
454,Nation ,TiBZ,,,,französisch,,,,,,
455,On s'écrira ,Nuit Incolore,,,,französisch,,,,,,
456,Les filles d'aujourd'hui ,Joyce Jonathan,,,,französisch,,,,,,
457,Nous ,TiBZ,,,,französisch,,,,,,
458,Si seulement... ,Kendji Girac,,,,französisch,,,,,,
459,Nous on sait ,Pierre Garnier,,,,französisch,,,,,,
460,Je Vis Pour Elle ,Andrea Bocelli,,,,französisch,,,,,,
461,Sains et saufs ,Zaz,,,,französisch,,,,,,
462,T'en aller ,Claudio Capéo,,,,französisch,,,,,,
463,M'envoler ,JECK,,,,französisch,,,,,,
464,Chanson sur ma drôle de vie ,Véronique Sanson,,,,französisch,,,,,,
465,Il faudrait ,Vianney,,,,französisch,,,,,,
466,J'ai essayé ,Vianney,,,,französisch,,,,,,
467,Nos lendemains ,Vianney,,,,französisch,,,,,,
468,Un homme ,Vianney,,,,französisch,,,,,,
469,Tombé sous le charme ,Christophe Maé,,,,französisch,,,,,,
470,Je pars ,Gaël Faye,,,,französisch,,,,,,
471,Le vent nous portera ,Noir Désir,,,,französisch,,,,,,
472,J’ai changé ,Kendji Girac,,,,französisch,,,,,,
473,Tusind Farver,Rasmus Seebach,,,,dänisch,,,,,,
474,Der' Noget I December,Rasmus Seebach,,,,dänisch,,,,,,
475,By til By,Hkeem,,,,dänisch,,,,,,
476,Sandstorm,Rasmus Seebach,,,,dänisch,,,,,,
477,Frit Land,Ulige Numre,,,,dänisch,,,,,,
478,Knuste Hjerter,NOAH,,,,dänisch,,,,,,
479,Større End Os,Medina,,,,dänisch,,,,,,
480,Før Vi Falder,NOAH,,,,dänisch,,,,,,
481,Det' Okay,NOAH,,,,dänisch,,,,,,
482,Tak,NOAH,,,,dänisch,,,,,,
483,Tro På Dig Selv,Michael Hausted,,,,dänisch,,,,,,
484,Under Stjernerne På Himlen,Rasmus Seebach,,,Mer’ end kærlighed,dänisch,,,,,"Pop,Ballade,Popballade","Melancholic,Hopeful,Nostalgic,Lyrisch/poetisch,Romantisch,Zärtlichkeit,Innere Ruhe,Friedlich,Märchenhaft"
485,Kald Det Kærlighed,Michael Hausted,,,,dänisch,,,,,,
486,Hey Buster (Original Soundtrack),Joey Moe,,,,dänisch,,,,,,
487,Bli’ Her Lidt,Michael Hausted,,,,dänisch,,,,,,
488,Godnat København,NOAH,,,,dänisch,,,,,,
489,Nangijala,Rasmus Seebach,,,,dänisch,,,,,,
490,De Ka' Sig' Hva' De Vil,Rasmus Seebach,,,,dänisch,,,,,,
491,Okay,Rasmus Seebach,,,,dänisch,,,,,,
492,Falder,Rasmus Seebach,,,,dänisch,,,,,,
493,Livets Melodi,Rasmus Seebach,,,,dänisch,,,,,,
494,Der letzte Tanz,Bosse,,,,deutsch,,,,,,
495,Schönste Zeit,Bosse,,,,deutsch,,,,,,
496,Dein Hurra,Bosse,,,,deutsch,,,,,,
497,Steine,Bosse,,,,deutsch,,,,,,
498,Au Revoir,Mark Forster,,,,deutsch,,,,,,
499,"194 Länder",Mark Forster,,,,deutsch,,,,,,
500,Sowieso (Radio Version),Mark Forster,,,,deutsch,,,,,,
501,Frische Luft,Wincent Weiss,,,,deutsch,,,,,,
502,So soll es bleiben (Single Edit),Ich + Ich,,,,deutsch,,,,,,
503,Vom selben Stern (Radio Edit),Ich + Ich,,,,deutsch,,,,,,
504,Gleichgewicht,Valerie Niehaus,,,,deutsch,,,,,,
505,Hallo Hometown,Bosse,,,,deutsch,,,,,,
506,Abenteuerland,PUR,,,,deutsch,,,,,,
507,Keine Maschine,Tim Bendzko,,,,deutsch,,,,,,
508,Kompass,Madsen,,,,deutsch,,,,,,
509,Kleiner Finger Schwur,Florian Künstler,,,,deutsch,,,,,,
510,So oder so,Bosse,,,,deutsch,,,,,,
511,Velocità,Roy Bianco,,,,deutsch,,,,,,
512,Nessaja,Peter Maffay,,,,deutsch,,,,,,
513,Ich würd' dich gern besuchen,Unheilig,,,,deutsch,,,,,,
514,Au Revoir,Mark Forster,,,,deutsch,,,,,,
515,Major Tom (Völlig losgelöst),Peter Schilling,,,,deutsch,,,,,,
516,"Irgendwie, irgendwo, irgendwann",Nena,,,,deutsch,,,,,,
517,"99 Luftballons",Nena,,,,deutsch,,,,,,
518,Rock Me Amadeus,Falco,,,,deutsch,,,,,,
519,Nur geträumt,Nena,,,,deutsch,,,,,,
520,Der Kommissar,Falco,,,,deutsch,,,,,,
521,Sternenhimmel,Hubert Kah,,,,deutsch,,,,,,
522,Traum,CRO,,,,deutsch,,,,,,
523,Astronaut,Sido,,,,deutsch,,,,,,
524,Einmal um die Welt,CRO,,,,deutsch,,,,,,
525,Lieder,Adel Tawil,,,,deutsch,,,,,,
526,Geboren um zu leben,Unheilig,,,,deutsch,,,,,,
527,Willst du,Alligatoah,,,,deutsch,,,,,,
528,"Applaus, Applaus (Radio Edit)",Sportfreunde Stiller,,,,deutsch,,,,,,
529,Stadt,Cassandra Steen,,,,deutsch,,,,,,
530,Nur noch kurz die Welt retten,Tim Bendzko,,,,deutsch,,,,,,
531,Still,Jupiter Jones,,,,deutsch,,,,,,
532,Millionen Lichter,Christina Stürmer,,,,deutsch,,,,,,
533,Leichtes Gepäck,Silbermond,,,,deutsch,,,,,,
534,Mein Ding (MTV Unplugged),Udo Lindenberg,,,,deutsch,,,,,,
535,Komet,Apache 207,,,,deutsch,,,,,,
536,Bye Bye,CRO,,,,deutsch,,,,,,
537,Du schreibst Geschichte,Madsen,,,,deutsch,,,,,,
538,Leichter,Madsen,,,,deutsch,,,,,,
539,Ich will nur dass du weißt (Radio Edit),SDP,,,,deutsch,,,,,,
540,Tokio Hotel - Durch Den Monsun,TokioHotelVEVO,,,,deutsch,,,,,,
541,Durch den Monsun (Radio Mix),Tokio Hotel,,,,deutsch,,,,,,
542,Flugzeuge im Bauch (Remastered 2016),Herbert Grönemeyer,,,,deutsch,,,,,,
543,Leuchtturm,Nena,,,,deutsch,,,,,,
544,Oft gefragt,AnnenMayKantereit,,,,deutsch,,,,,,
545,Mensch (Remastered 2016),Herbert Grönemeyer,,,,deutsch,,,,,,
546,Gib mir Sonne,Rosenstolz,,,,deutsch,,,,,,
547,Weck mich auf,Samy Deluxe,,,,deutsch,,,,,,
548,Leiser (Akustik Version),LEA,,,,deutsch,,,,,,
549,Wie soll ein Mensch das ertragen,Philipp Poisel,,,,deutsch,,,,,,
550,"1000 und 1 Nacht (Zoom!) (Remastered 2011)",Klaus Lage,,,,deutsch,,,,,,
551,Griechischer Wein,Udo Jürgens,,,,deutsch,,,,,,
552,Alles nur geklaut,Die Prinzen,,,,deutsch,,,,,,
553,Ozean,AnnenMayKantereit,,,,deutsch,,,,,,
554,Nebenjob,Alligatoah,,,,deutsch,,,,,,
555,Wieder genauso,Udo Lindenberg,,,,deutsch,,,,,,
556,Eins sein,Wilhelmine,,,,deutsch,,,,,,
557,Das Schönste (feat. Yasmina Hempel & Paul Csitkovics),Peter Plate,,,,deutsch,,,,,,
558,Ende der Einsamkeit,Bosse,,,,deutsch,,,,,,
559,Bella Napoli,Roy Bianco & Die Abbrunzati Boys,,,,deutsch,,,,,,
560,"Goodbye, Arrivederci",Roy Bianco & Die Abbrunzati Boys,,,,deutsch,,,,,,
561,Das kann uns keiner nehmen,Revolverheld,,,,deutsch,,,,,,
562,"Guten Tag, liebes Glück (MTV Unplugged)",Max Raabe,,,,deutsch,,,,,,
563,Cello (feat. Clueso) [MTV Unplugged],Udo Lindenberg,,,,deutsch,,,,,,
564,Durch die schweren Zeiten,Udo Lindenberg,,,,deutsch,,,,,,
565,Durch die schweren Zeiten (I'll Carry You) (feat. Angus & Julia Stone) (MTV Unplugged 2),Udo Lindenberg,,,,deutsch,,,,,,
566,Mein Ding,Udo Lindenberg,,,,deutsch,,,,,,
567,Freiheit (Remastered),Westernhagen,,,,deutsch,,,,,,
568,Moritat von Mackie Messer (MTV Unplugged),Max Raabe,,,,deutsch,,,,,,
569,Meine Hand in Deiner (Song für die Freiheit),Valerie Niehaus,,,,deutsch,,,,,,
570,Kompass,Udo Lindenberg,,,,deutsch,,,,,,
571,So wie Du warst,Unheilig,,,,deutsch,,,,,,
572,Über sieben Brücken musst du geh'n (Digitally Remastered),Peter Maffay,,,,deutsch,,,,,,
573,"Applaus, Applaus",Sportfreunde Stiller,,,,deutsch,,,,,,
574,"New York, Rio, Rosenheim",Sportfreunde Stiller,,,,deutsch,,,,,,
575,Jovial,Freddy Kalas,,,,norwegisch,,,,,,
576,Øde Ø,Rasmus Seebach,,,,norwegisch,,,,,,
577,Paradis,Sondre Justad,,,,norwegisch,,,,,,
578,Gjør det igjen,Sondre Justad,,,,norwegisch,,,,,,
579,Fan va bra,Jakob Karlberg,,,,schwedisch,,,,,,
580,Gubben i lådan,Daniel Adams-Ray,,,,schwedisch,,,,,,
581,Veit det går bra,Freddy Kalas,,,,norwegisch,,,,,,
582,BlimE,Freddy Kalas,,,,norwegisch,,,,,,
583,Visa vid vindens ängar,Håkan Hellström,,,,norwegisch,,,,,,
584,Om Alt Går Til Helvete,Katastrofe,,,,norwegisch,,,,,,
585,Fontena på Youngstorget,Sondre Justad,,,,norwegisch,,,,,,
586,GIV MIG TID,NOAH,,,,dänisch,,,,,,
587,Den Samme Jævla Sangen,Vidar Villa,,,,norwegisch,,,,,,
588,Sjalu,Vidar Villa,,,,norwegisch,,,,,,
589,Eloise,Arvingarna,,,,schwedisch,,,,,,
590,Simsalabim,Lucianoz,,,,schwedisch,,,,,,
591,Ola,Halva Priset,,,,norwegisch,,,,,,
592,Alle Går I Stykker,NOAH,,,,dänisch,,,,,,
593,Kom igen Lena!,Håkan Hellström,,,,schwedisch,,,,,,
594,Ja må du leva,Darin,,,,schwedisch,,,,,,
595,Din tid kommer,Håkan Hellström,,,,schwedisch,,,,,,
596,HELVETE,Emil Assergård,,,,schwedisch,,,,,,
597,Den Jeg Er,Line,,,,,,,,,,
598,Creep,Radiohead,Radiohead,,Pablo Honey,englisch,Vocal,Medium,Balanced,Sad,"Rock,Alternative Rock,Indie Rock,Grunge,Britpop","Melancholic,Lyrisch/poetisch,introspektiv,Emotional,Selbsthass,Resignation"
599,La Guerra Di Piero ,Fabrizio De André,,,,italienisch,,,,,,
600,Bocca di rosa ,Fabrizio De André,,,,italienisch,,,,,,
601,"Amore che vieni, amore che vai ",Fabrizio De André,,,,italienisch,,,,,,
602,Ballata dell'amore cieco (o della vanità) ,Fabrizio De André,,,,italienisch,,,,,,
603,L'isola che non c'è , Edoardo Bennato,,,,italienisch,,,,,,
604,Via del campo ,Fabrizio De André,,,,italienisch,,,,,,
605,L'anno che verrà , Lucio Dalla,,,,italienisch,,,,,,
606,Attenti al lupo , Lucio Dalla,,,,italienisch,,,,,,
607,Piazza Grande , Lucio Dalla,,,,italienisch,,,,,,
608,Canzone , Lucio Dalla,,,,italienisch,,,,,,
609,E... ,Vasco Rossi,,,,italienisch,,,,,,
610,Una Canzone D'Amore Buttata Via ,Vasco Rossi,,,,italienisch,,,,,,
611,Il pescatore ,Fabrizio De André,,,,italienisch,,,,,,
612,Il testamento di Tito ,Fabrizio De André,,,,italienisch,,,,,,
613,La città vecchia ,Fabrizio De André,,,,italienisch,,,,,,
614,Ogni volta ,Vasco Rossi,,,,italienisch,,,,,,
615,Un chimico ,Fabrizio De André,,,,italienisch,,,,,,
616,Un'emozione per sempre ,Eros Ramazzotti,,,,italienisch,,,,,,
617,Il sogno di Maria ,Fabrizio De André,,,,italienisch,,,,,,
618,Come in un film ,Modà,,,,italienisch,,,,,,
619,Ti amo veramente ,Modà,,,,italienisch,,,,,,
620,Non è mai abbastanza ,Modà,,,,italienisch,,,,,,
621,Quello che non ti ho detto ,Modà,,,,italienisch,,,,,,
622,Dove è sempre sole ,Modà,,,,italienisch,,,,,,
623,VENT'ANNI ,Måneskin,,,,italienisch,,,,,,
624,Sono già solo ,Modà,,,,italienisch,,,,,,
625,Arriverà ,Modà,,,,italienisch,,,,,,
626,La notte ,Modà,,,,italienisch,,,,,,
627,Come un pittore ,Modà,,,,italienisch,,,,,,
628,Le parole lontane ,Måneskin,,,,italienisch,,,,,,
629,Torna a casa ,Måneskin,,,,italienisch,,,,,,
630,Buongiorno vita ,Ultimo,,,,italienisch,,,,,,
631,SUPEREROI ,Mr. Rain,,,,italienisch,,,,,,
632,Vivo per vivere ,Ultimo,,,,italienisch,,,,,,
633,Poesia Senza Veli ,Ultimo,,,,italienisch,,,,,,
634,Fiori di Chernobyl ,Mr. Rain,,,,italienisch,,,,,,
635,Ti va di stare bene ,Ultimo,,,,italienisch,,,,,,
636,Piccola Stella ,Ultimo,,,,italienisch,,,,,,
637,Perfect Symphony (with Andrea Bocelli) ,Ed Sheeran,,,,italienisch,,,,,,
638,Domenica ,Ultimo,,,,italienisch,,,,,,
639,Rondini al Guinzaglio ,Ultimo,,,,italienisch,,,,,,
640,Tu Sei ,Emanuele Bianco,,,,italienisch,,,,,,
641,I Belong to You ,Eros Ramazzotti,,,,italienisch,,,,,,
642,Sempre ,Bruno Adamo,,,,italienisch,,,,,,
643,Tu sei per me ,Enrico Nigiotti,,,,italienisch,,,,,,
644,L-O-V-E,Nat King Cole,,,,englisch,,,,,,
645,La Vie En Rose,Louis Armstrong,,,,englisch,,,,,,
646,Feeling Good,Nina Simone,,,,englisch,,,,,,
647,What A Wonderful World,Louis Armstrong,,,,englisch,,,,,,
648,"Sing, Sing, Sing",Release,,,,englisch,,,,,,
649,"Sing, Sing, Sing (Remastered)",Benny Goodman,,,,englisch,,,,,,
650,Fly Me to the Moon,New York Jazz Lounge,,,,englisch,,,,,,
651,Hit the Road Jack,Release,,,,englisch,,,,,,
652,Tennessee Whiskey,Chris Stapleton,,,,englisch,,,,,,
653,Pennies From Heaven,Louis Prima,,,,englisch,,,,,,
654,All of Me (Standard Jazz Remastered),Frank Sinatra,,,,englisch,,,,,,
655,The Girl From Ipanema,Nat King Cole,,,,englisch,,,,,,
656,It Don't Mean a Thing (If It Ain't Got That Swing) (1990 Remaster),Louis Armstrong,,,,englisch,,,,,,
657,On The Sunny Side Of The Street,Louis Armstrong,,,,englisch,,,,,,
658,In the Mood,Glenn Miller,,,,englisch,,,,,,
659,When The Saints Go Marching In,Louis Armstrong,,,,englisch,,,,,,
660,La vie en rose (Single Version),Louis Armstrong,,,,englisch,,,,,,
661,Cool Struttin' (Remastered),Release,,,,englisch,,,,,,
662,Cheese Cake,Dexter Gordon,,,,englisch,,,,,,
663,"It's Been a Long, Long Time",Kitty Kallen,,,,englisch,,,,,,
664,"It's Been A Long, Long Time",Harry James,,,,englisch,,,,,,
665,Take Five,Paul Desmond,,,,englisch,,,,,,
666,Lille Store Verden,Rasmus Seebach,,,,,,,,,,
667,Hey Ho,Freddy Kalas,,,,,,,,,,
668,Himmel På Jord,Kurt Nilsen,,,,,,,,,,
669,Old Toy Trains (Single Version),Roger Miller,,,,,,,,,,
670,Selmas sang (Instrumental),Eva Weel Skram,,,,,,,,,,
671,Tænd Et Lys,NOAH,,,,,,,,,,
672,Tenn Et Lys,Eli Rygg,,,,,,,,,,
673,Julehjertets Hemmelighed,Malte Ebert,,,,,,,,,,
674,Leggenda di Natale,Fabrizio De André,,,,,,,,,,
675,Det var julenissen,Katastrofe,,,,,,,,,,
676,Wonderful Dream (Holidays Are Coming) (Radio Version),Melanie Thornton,,,,,,,,,,
677,Himmel På Jord,Kurt Nilsen,,,,,,,,,,
678,Tenn Lys,Helene Bøksle,,,,,,,,,,
679,Julen är här,Tommy Körberg,,,,,,,,,,
680,No som jula ringast inn,Stine Hole Ulla,,,,,,,,,,
681,Når det er jul,Reidun Sæther,,,,,,,,,,
682,Romjulsdrøm,D'Sound,,,,,,,,,,
683,Julekveld,Torstein Sødal,,,,,,,,,,
684,Neste år,Maria Mohn,,,,,,,,,,
685,We Three Kings,Clamavi De Profundis,,,,,,,,,,
686,Buon Natale (Se Vuoi),Eros Ramazzotti,,,,,,,,,,
687,Buon Natale a tutto il mondo,Irene Grandi,,,,,,,,,,
688,Natale tanto vale,Francesco Gabbani,,,,,,,,,,
689,Santa Teach Me to Dance,Debbie & The Darnells,,,,,,,,,,
690,"Please, Daddy (Don't Get Drunk This Christmas)",John Denver,,,,,,,,,,
691,Mer jul,Adolphson & Falk,,,,,,,,,,
692,Sonjas Sang,Staff Band of the Norwegian Armed Forces,,,,,,,,,,
693,Sonjas sang (From Soundtrack; Reisen til julestjernen),Helene Bøksle,,,,,,,,,,
694,En stjerne skinner i natt (Live hos NRK P3),Makosir,,,,,,,,,,
695,"Falle til ro (From the Original Netflix Series ""Home For Christmas"")",Eva Weel Skram,,,,,,,,,,
696,Romjulsdrøm,Eva Weel Skram,,,,,,,,,,
697,Merry Christmas,Ed Sheeran,,,,,,,,,,
698,Himmel på jord,Stavangerkameratene,,,,,,,,,,
699,Nå Tennes Tusen Julelys,Kurt Nilsen,,,,,,,,,,
700,Snøfall - Sov i ro,Barneselskapet,,,,,,,,,,
701,Un piccolo Natale in più (Have Yourself a Merry Little Christmas),Claudio Baglioni,,,,,,,,,,
702,Let It Be Christmas,Alan Jackson,,,,,,,,,,
703,Kopparbärsjul,Eddie Meduza,,,,,,,,,,
704,Little Saint Nick,The Beach Boys,,,,,,,,,,
705,Desember,Christel Alsos,,,,,,,,,,
706,Driving Home for Christmas (2019 Remaster),Chris Rea,,,,,,,,,,
707,Den Himmelblå,Shu-bi-dua,,,,,,,,,,
708,Happy Xmas (War Is Over) (Remastered 2010),John Lennon,,,,,,,,,,
709,Mot lys (fra Snøfall),Inge Bremnes,,,,,,,,,,
710,Run Rudolph Run,Chuck Berry,,,,,,,,,,
711,Do They Know It's Christmas? (1984 Version),Band Aid,,,,,,,,,,
713,Fairytale of New York (feat. Kirsty MacColl),The Pogues,,,,,,,,,,
714,Mistletoe and Wine,Cliff Richard,,,,,,,,,,
715,Wonderful Christmastime [Edited Version] (2011 Remaster),Paul McCartney,,,,,,,,,,
716,Step Into Christmas (Remastered 1995),Elton John,,,,,,,,,,
717,Merry Christmas Everybody,Train,,,,,,,,,,
718,Shake Up Christmas,Train,,,,,,,,,,
719,Thank God It's Christmas (Non-Album Single),Queen,,,,,,,,,,
720,Fairytale of New York,Noteservice Wind Band,,,,,,,,,,
721,Santa Lucia fra Jul i Svingen,Noteservice Wind Band,,,,,,,,,,
722,Jul i Svingen,Noteservice Wind Band,,,,,,,,,,
723,"Mot Lys - Inge Bremnes, Arr: Idar Torskangerpoll. Flex 4, Grade 2,5.",Norsk Musikkforlag Band Music,,,,,,,,,,
724,Christmas Lights,Coldplay,,,,,,,,,,
725,Koldt Udenfor,Martin Lærke,,,,,,,,,,
726,You Make It Feel Like Christmas,Gwen Stefani,,,,,,,,,,
727,That Christmasy Feeling,Johnny Cash,,,,,,,,,,
728,Christmas Time (Classic Version),Bryan Adams,,,,,,,,,,
729,Musikk fra Snøfall,Noteservice Wind Band,,,,,,,,,,
730,Hvad Er Det Der Gør Jul Til Noget Særligt,Lise Petersen,,,,,,,,,,
731,Pagten (Uden Hinanden),Julie Maria,,,,,,,,,,
732,Julekys,Fyr Og Flamme,,,,,,,,,,
733,This Christmas Day,Amy Macdonald,,,,,,,,,,
734,I En Stjerneregn Af Sne,Zophia,,,,,,,,,,
735,HERE (For Christmas),Lukas Graham,,,,,,,,,,
736,Har du plass?,Halva Priset,,,,,,,,,,
737,Snowman,Sia,,,,,,,,,,
738,It's Beginning to Look a Lot like Christmas,Michael Bublé,,,,,,,,,,
739,Little Drummer Boy,Kenny Rogers,,,,,,,,,,
740,The Power of Love,Gabrielle Aplin,,,,,,,,,,
741,Do They Know It's Christmas? (1984 Version),Band Aid,,,,,,,,,,
742,Feliz Navidad,José Feliciano,,,,,,,,,,
743,Wonderful Christmastime (Full Length Version / Remastered 2011),Paul McCartney,,,,,,,,,,
744,Have Yourself A Merry Little Christmas (Remastered 1999),Frank Sinatra,,,,,,,,,,
